cleaner,drop_q,fit_count,weight,model,threshold,train_mra,test_mra,p75,benefit,tie,harm,delta_sum
recall,0.1,1180,delta_clean,gbrt,0.06186514841582298,32.35697940503433,32.836185819070906,143,46,42,55,8.800000000000008
linear,0.1,1180,delta_clean2,gbrt,0.055588414936059295,32.143401983218915,32.78728606356968,142,47,41,54,8.400000000000002
linear,0.3,918,delta_clean2,gbrt,0.05379535741132543,32.06712433257056,32.775061124694375,161,49,52,60,8.300000000000002
linear,0.0,1311,delta_clean,lgbm,0.07678002272174997,32.10526315789474,32.76283618581907,118,41,35,42,8.2
geom,0.3,918,delta_clean2,lgbm,0.048371357101109604,32.021357742181536,32.75061124694376,151,49,44,58,8.100000000000001
linear,0.2,1049,clean,dt3,0.006237355872700797,31.372997711670475,32.71393643031785,97,38,24,35,7.800000000000003
linear,0.3,918,clean,dt3,0.005012489636171638,31.372997711670475,32.71393643031785,97,38,24,35,7.800000000000003
linear,0.4,787,clean,dt3,0.004170058261702844,31.372997711670475,32.71393643031785,97,38,24,35,7.800000000000003
linear,0.4,787,delta_clean,dt3,0.06615285642347851,31.372997711670475,32.71393643031785,97,38,24,35,7.800000000000003
geom,0.1,1180,clean,dt3,0.006350448035571669,31.372997711670475,32.71393643031785,97,38,24,35,7.800000000000003
geom,0.2,1049,clean,dt3,0.005906532745929904,31.372997711670475,32.71393643031785,97,38,24,35,7.800000000000003
geom,0.3,918,clean,lgbm,0.006958818288560949,32.31884057971015,32.71393643031785,116,41,31,44,7.800000000000003
geom,0.4,787,clean,dt3,0.006095347503418367,31.372997711670475,32.71393643031785,97,38,24,35,7.800000000000003
recall,0.2,1049,clean,dt3,0.006153596819205812,31.372997711670475,32.71393643031785,97,38,24,35,7.800000000000003
recall,0.4,787,clean,dt3,0.005920752888911671,31.372997711670475,32.71393643031785,97,38,24,35,7.800000000000003
geom,0.3,918,delta_clean,gbrt,0.05018403268805368,32.151029748283754,32.701711491442545,172,52,54,66,7.700000000000001
recall,0.4,787,delta_clean2,lgbm,0.03458022687550696,32.00610221205187,32.66503667481662,161,49,48,64,7.399999999999999
geom,0.0,1311,delta_clean,gbrt,0.0617407973233964,32.23493516399695,32.640586797066014,149,43,49,57,7.200000000000003
geom,0.3,918,clean,dt3,0.0298525765912506,31.27383676582761,32.640586797066014,80,32,21,27,7.200000000000003
recall,0.0,1311,clean,lgbm,-0.026857873996339845,32.31884057971015,32.640586797066014,255,70,84,101,7.200000000000004
recall,0.3,918,clean,dt3,0.02862999227949841,31.27383676582761,32.640586797066014,80,32,21,27,7.200000000000003
linear,0.0,1311,delta_clean,dt2,0.07649941715934162,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
linear,0.0,1311,delta_clean,dt3,0.024817640078706345,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
linear,0.1,1180,delta_clean,dt2,0.07401360249457989,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
linear,0.1,1180,delta_clean,dt3,0.02492486964848266,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
linear,0.2,1049,delta_clean,dt2,0.07409455297100928,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
linear,0.2,1049,delta_clean,dt3,0.02568089136194235,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
linear,0.3,918,delta_clean,dt2,0.0807349364496509,31.16704805491991,32.62836185819071,158,49,47,62,7.100000000000002
linear,0.3,918,delta_clean,dt3,0.02228395280701009,31.16704805491991,32.62836185819071,158,49,47,62,7.100000000000002
geom,0.0,1311,delta_clean,dt2,0.07926492106513941,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
geom,0.0,1311,delta_clean,dt3,0.02556390191216624,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
geom,0.1,1180,delta_clean,dt2,0.07921222708611061,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
geom,0.1,1180,delta_clean,dt3,0.026285089704241094,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
geom,0.2,1049,delta_clean,dt2,0.07836624493416784,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
geom,0.2,1049,delta_clean,dt3,0.02573532928657643,31.197559115179253,32.62836185819071,158,49,47,62,7.100000000000002
